qc,cargos,total,20,40,70,100,200,400,700,1000,1500,2000
100136,39,42,2,6,7,9,11,27,27,46,80,118
101005,305,661,5,11,16,22,37,73,126,181,278,376
101410,23,27,3,4,9,15,24,52,77,119,178,237
206410,106,221,6,9,18,25,38,75,131,198,288,371
215304,220,570,5,8,16,23,38,69,136,194,293,378
231303,215,622,5,8,16,23,41,74,144,212,312,408
300400,93,189,5,7,12,15,24,48,84,119,176,236
300401,192,392,6,7,14,21,32,62,104,166,233,309
302401,66,120,4,4,10,17,29,56,86,138,217,282
500311,263,675,4,7,13,20,33,66,120,177,245,336
500312,263,675,4,6,12,19,33,67,119,177,246,336
524311,306,765,4,7,14,21,33,64,113,173,249,334
609420,100,198,3,4,11,19,33,62,112,178,252,326
615320,169,454,4,5,13,20,34,63,119,176,266,353
618322,144,503,4,6,13,21,35,68,123,187,271,367
619321,140,503,4,6,14,21,37,73,129,199,283,387
627320,148,540,4,6,12,19,34,66,120,190,256,341
651321,128,189,4,6,11,18,30,55,109,157,225,305
656320,62,363,5,6,12,18,30,60,104,161,230,298
702311,242,599,5,7,13,20,41,80,148,209,296,419
710312,228,1496,4,6,15,22,37,72,122,196,301,367
725310,119,164,4,6,14,24,39,70,131,208,302,401
726400,81,184,7,9,16,25,47,87,169,254,333,496
727310,44,284,5,7,14,22,37,69,139,187,255,382
728400,81,184,6,8,15,24,47,84,168,255,326,495
739310,77,479,6,8,16,25,43,79,153,223,309,437
741311,216,694,6,9,17,27,51,98,183,265,369,526
746312,336,1017,4,6,14,23,40,72,138,213,307,405
753310,68,126,5,7,13,24,39,75,135,205,283,406
757311,174,611,6,10,18,29,52,97,189,272,372,529
762314,189,663,6,10,18,29,61,113,228,302,439,620
903311,86,199,4,5,8,12,18,36,64,104,131,178
929401,100,165,4,4,9,14,25,52,90,126,189,258
950401,120,174,3,3,6,12,21,44,68,104,157,206
1108400,55,85,3,3,10,16,26,47,88,132,193,269
1112401,103,126,2,3,4,7,10,24,25,51,70,105
1115310,151,275,4,6,13,18,27,53,93,141,207,267
1116310,149,337,4,7,13,19,29,58,101,150,224,291
1450311,181,294,5,7,14,22,34,67,123,176,261,340
1453311,199,314,5,9,14,21,37,66,130,196,272,375
1460312,547,1479,4,6,13,20,31,60,110,164,238,312
1460313,547,1479,4,6,13,20,31,59,110,157,241,309
1470310,24,26,3,3,4,9,17,38,61,80,133,192
1501402,21,48,3,3,6,11,18,43,52,79,133,178
2203310,116,280,5,6,11,16,24,51,82,128,176,241
2204003,145,436,5,7,11,15,25,55,84,132,181,253
2205400,12,41,3,3,7,10,16,33,58,80,111,159
2206000,59,72,4,5,8,11,17,39,51,92,114,161
2219311,87,220,4,5,10,13,21,44,87,108,155,223
2304310,88,472,4,5,11,17,29,58,106,146,223,307
2522135,178,224,2,4,5,7,10,22,22,51,73,108
2584120,40,42,2,3,5,6,8,20,19,33,61,78
2587150,46,46,3,4,5,6,8,20,17,37,63,86
5203900,10,18,1,2,2,4,7,17,34,48,49,68
5404002,81,88,0,0,0,3,6,11,25,36,44,58
5406194,176,282,0,0,1,5,7,14,23,44,52,61
5602900,46,85,1,1,1,6,10,15,44,63,68,94
5610900,43,84,1,1,1,6,10,18,37,61,65,92
5612900,2,2,1,1,1,3,6,10,27,37,41,59
5700900,3,4,0,0,0,1,3,6,12,13,19,30
5707901,13,15,0,0,0,3,6,9,24,42,46,59
5711901,35,70,0,2,3,8,13,20,50,74,101,124
5716900,3,4,0,0,0,1,4,8,14,30,29,41
5831900,9,11,0,2,2,5,8,16,24,48,59,75
5910001,46,64,1,1,2,5,7,16,30,42,47,63
6007900,2,3,0,0,0,1,4,7,13,23,27,37
6328900,5,61,0,0,0,1,4,9,16,24,29,38
6377900,3,3,0,0,0,2,5,9,19,29,35,50
6512900,2,11,0,0,0,0,2,2,12,14,17,23
6514901,2,2,0,1,1,3,5,9,20,36,35,51
6610004,199,273,0,2,2,7,12,18,36,71,82,115
6800901,3,14,0,0,0,3,4,6,21,28,29,37
6902003,90,244,1,3,3,8,12,16,43,73,78,115
6945005,61,621,1,3,3,5,8,13,36,46,59,71
6993900,9,17,1,2,2,3,6,13,26,33,43,53
6995000,41,77,0,2,2,5,8,13,23,47,56,70
6996002,62,81,0,0,0,3,5,13,19,33,36,46
7005007,205,498,2,3,3,7,11,19,46,65,75,109
7006000,1235,3068,1,2,3,8,14,22,56,84,95,135
7011000,100,252,1,2,3,8,12,20,48,75,80,112
7017901,28,45,0,0,0,3,7,17,26,43,50,76
7038901,2,2,0,0,0,2,4,8,16,24,31,37
7429900,60,95,0,0,0,2,6,12,20,33,48,58
7709001,295,443,0,2,2,7,10,18,31,61,69,94
7805004,210,379,0,2,2,7,12,17,38,70,82,115
7904179,248,354,0,0,0,4,7,11,22,48,52,68
8204900,2,2,0,1,1,2,3,6,12,12,21,24
8208000,108,132,0,1,1,4,6,12,21,38,44,63
8417000,67,83,0,0,0,3,5,9,20,33,40,45
8505001,31,37,0,0,0,3,5,10,19,37,35,49
8600005,138,162,0,0,0,2,5,11,16,29,37,45
8611009,343,606,1,2,3,8,12,20,43,76,84,116
8614001,48,83,0,3,3,7,9,15,29,52,68,85
9015002,136,305,1,2,2,6,8,15,29,50,62,79
9110009,86,118,0,0,0,3,5,12,20,30,44,48
9113003,167,237,0,1,1,6,8,15,29,51,65,77
9114000,234,551,1,2,2,4,6,10,27,38,45,51
9115000,52,329,0,2,2,4,6,9,22,39,42,60
9131000,33,137,1,1,1,3,5,10,25,35,45,45
9131001,33,137,0,0,1,3,5,9,19,29,38,50
